JUNCT_ID,X,Y,TYPE
1978961037,6749.40,14001.77,priority
1978961055,6750.81,14025.04,dead_end
1978961068,6734.10,14047.31,priority
1978961087,6722.12,14075.94,priority
1978961089,6732.02,14077.10,priority
1978961100,6729.70,14098.66,priority
1978961109,6738.37,14131.51,priority
1978961119,6836.81,14171.36,dead_end
1978961120,6745.43,14177.33,priority
1978961121,6745.76,14190.59,priority
1978961132,6752.35,14281.94,dead_end
1978961133,6743.96,14282.79,dead_end
1978961134,6499.32,15297.81,dead_end
1980634591,3795.22,5337.09,dead_end
1980634912,5076.01,9591.10,priority
1980634979,5271.08,10266.03,dead_end
1983616330,4944.38,9080.98,dead_end
1983616999,5387.67,9316.09,rail_crossing
1983617032,5376.50,9322.42,rail_crossing
1983617045,5033.05,9331.78,priority
1983617246,5053.11,9373.23,dead_end
1983617248,5068.64,9372.98,dead_end
1983617253,5025.88,9383.88,dead_end
1983617277,5058.44,9541.56,priority
1994540576,6475.22,15190.56,priority
2285144415,4073.43,12325.40,priority
2285144437,4032.40,12481.71,priority
2285157049,6752.76,9236.02,priority
2387758955,5610.04,13024.09,priority
2406296227,4120.93,11638.60,priority
2419006334,4048.57,13228.79,priority
2419006370,3788.07,10343.22,priority
2419006464,4000.76,10448.29,priority
2419006490,3613.27,10191.70,priority
2419006498,4074.31,12165.98,priority
2419006523,4037.57,12014.94,priority
2419006524,4037.30,11831.14,priority
2419006544,4075.44,11305.71,traffic_light
2419006549,4037.67,11381.30,priority
2419006584,4031.44,12665.42,priority
2419006594,4032.98,12407.31,priority
2419006602,4037.40,14405.70,priority
2419034680,3578.40,10217.97,priority
2558578868,3494.32,9853.36,priority
2558589554,3895.23,10359.78,priority
2558589557,4072.98,11021.68,priority
2558589562,4036.10,11049.10,priority
2558599368,4073.97,11223.84,priority
2558599380,4035.62,10966.03,priority
2558611831,4074.27,12078.82,priority
2558625142,4027.87,13314.28,priority
2558625146,4030.63,12746.41,priority
2558636822,4026.20,13549.13,priority
2558636826,4068.61,12799.46,traffic_light
2558636834,4063.47,13546.44,priority
2558636845,4030.14,12810.93,priority
2558891162,5011.56,13076.69,right_before_left
2558891165,5340.66,13070.90,priority
2558891167,5236.33,13075.33,priority
2558891168,4695.10,13081.14,priority
2558891170,4423.54,13085.00,priority
2558891171,4334.37,13085.93,priority
2558891173,4966.73,13077.10,priority
2558891175,4515.42,13083.52,priority
2558891178,5011.88,13351.76,priority
2558891180,5010.47,13628.28,priority
2558891181,5056.02,13075.91,priority
2558891182,4876.00,13078.75,priority
2558891187,4785.38,13080.18,priority
2558891189,4245.18,13087.31,priority
2558891191,5145.48,13076.73,priority
2558891192,5423.74,13069.68,priority
2558891193,4605.65,13082.99,priority
2908459386,4072.87,10961.69,priority
295220919,4094.94,14587.31,priority
295221231,5046.59,14051.37,priority
295221544,4133.20,14942.12,priority
295221555,4081.76,15251.31,priority
295221795,4109.53,15506.25,priority
295221797,4123.69,15674.46,priority
295222552,4170.85,15299.81,priority
295222628,5729.90,15491.74,dead_end
295222946,5263.26,14687.71,priority
29814919,1951.86,3603.72,dead_end
29815442,5486.03,11437.62,dead_end
29815443,5493.42,11466.14,dead_end
29836269,6078.02,13434.76,priority
29836274,6086.02,13541.22,priority
29836278,6229.42,13350.98,rail_crossing
29836318,6639.92,13360.14,rail_crossing
29836321,6682.20,13444.23,priority
